iter	RMSE
391	0.8513585714
392	0.8513387954
393	0.8513015845
394	0.8512709422
395	0.8512505589
396	0.8512347175
397	0.8512239187
398	0.8512079148
399	0.8511763471
400	0.8511303138
401	0.8511102765
402	0.8510765984
403	0.8510295312
404	0.8510123054
405	0.8509869579
406	0.8509738866
407	0.8509317602
408	0.8509117728
409	0.8508906943
410	0.8508710828
411	0.8508596084
412	0.8508464684
413	0.8508260314
414	0.8508002356
415	0.8507644508
416	0.8507359514
417	0.8507091839
418	0.8506798478
419	0.8506603459
420	0.8506411695
421	0.8506086792
422	0.8505803025
423	0.8505541981
424	0.8505435924
425	0.8505226132
426	0.8504843853
427	0.8504548378
428	0.8504035306
429	0.8503805078
430	0.8503527383
431	0.8503275999
432	0.8503120161
433	0.8502661696
434	0.8502376107
435	0.8502094372
436	0.8501898061
437	0.8501618572
438	0.850133414
439	0.8501064084
440	0.8500920866
441	0.8500719937
442	0.8500515134
443	0.8500310204
444	0.8500145375
445	0.8499893985
446	0.8499733367
447	0.8499521575
448	0.8499313212
449	0.8498982669
450	0.8498772925
451	0.8498124012
452	0.8497793342
453	0.849756029
454	0.8497325764
455	0.8496871872
456	0.8496328616
457	0.8496130965
458	0.8495842293
459	0.8495673049
460	0.8495493949
461	0.8495255466
462	0.8495050284
463	0.8494847237
464	0.8494722106
465	0.8494522373
466	0.8494215674
467	0.849398802
468	0.8493792296
469	0.8493553136
470	0.8493140725
471	0.8492970601
472	0.849266588
473	0.8492449967
474	0.8492249295
475	0.8491905436
476	0.8491526942
477	0.8491295344
478	0.8491166327
479	0.8490946651
480	0.8490789862
481	0.8490573845
482	0.8490391902
483	0.849020368
484	0.8489773504
485	0.8489592078
486	0.8489104019
487	0.8488815554
488	0.8488591886
489	0.8488401063
490	0.8488130411
491	0.8487934298
492	0.8487599013
493	0.8487451366
494	0.8487167322
495	0.8486908194
496	0.8486604125
497	0.8486464943
498	0.8486287004
499	0.848605981
500	0.8485860619
501	0.8485533986
502	0.848536539
503	0.8485167593
504	0.8485001649
505	0.8484838714
506	0.8484623761
507	0.8484408894
508	0.8484066883
509	0.8483793523
510	0.8483493689
511	0.8483086858
512	0.848291507
513	0.8482690283
514	0.8482352686
515	0.8482118923
516	0.8481946343
517	0.8481768902
518	0.8481615543
519	0.8481275317
520	0.8481095742
521	0.8480898964
522	0.8480684717
523	0.8480498161
524	0.8480238691
525	0.848010261
526	0.847979628
527	0.8479520089
528	0.8479140007
529	0.8478745633
530	0.8478253085
531	0.847808298
532	0.8477758304
533	0.847752342
534	0.8477285504
535	0.8476986615
536	0.8476762205
537	0.8476583016
538	0.8476446897
539	0.8476312095
540	0.8475913421
541	0.8475585559
542	0.8475442823
543	0.8475253508
544	0.8475097125
545	0.8474726006
546	0.8474536287
547	0.8474231365
548	0.8473987081
549	0.8473801887
550	0.8473511663
551	0.8473304046
552	0.8473058545
553	0.8472770273
554	0.8472642776
555	0.8472403767
556	0.8472104498
557	0.8471921559
558	0.8471647211
559	0.8471371738
560	0.8471165064
561	0.8470996202
562	0.8470675639
563	0.8470239093
564	0.847006193
565	0.8469867547
566	0.8469490942
567	0.8469300187
568	0.8468862845
569	0.846865115
570	0.8468486109
571	0.8468332252
572	0.8468136059
573	0.8467852877
574	0.8467670243
575	0.8467537336
576	0.8467347465
577	0.8467220171
578	0.8466830384
579	0.8466498816
580	0.8466320733
581	0.846615892
582	0.8465908725
583	0.846577255
584	0.8465451556
585	0.8465147416
586	0.8464830448
587	0.8464673125
588	0.8464483471
589	0.8464329034
590	0.8463961225
591	0.8463637693
592	0.8463435456
593	0.8463221502
594	0.8463113886
595	0.8462662303
596	0.8462505518
597	0.8462304297
598	0.8462074444
599	0.84619317
600	0.8461718272
601	0.8461482196
602	0.8461324336
603	0.846112113
604	0.8460815805
605	0.8460504913
606	0.8460172876
607	0.8459898975
608	0.8459605772
609	0.8459400372
610	0.845924567
611	0.8459035843
612	0.8458822942
613	0.8458455785
614	0.8458228622
615	0.8457990846
616	0.8457755805
617	0.8457607004
618	0.8457391954
619	0.8457149484
620	0.8456882425
621	0.8456615088
622	0.8456329805
623	0.8456120162
624	0.8455836548
625	0.8455574201
626	0.845527468
627	0.8455088767
628	0.8454947693
629	0.845475237
630	0.8454521814
631	0.8454242917
632	0.8454070163
633	0.8453861937
634	0.8453731607
635	0.8453528311
636	0.845333768
637	0.8453152811
638	0.8452999839
639	0.8452834797
640	0.8452605914
641	0.8452329519
642	0.8451856611
643	0.845152757
644	0.8451364191
645	0.8451190765
646	0.8451081855
647	0.8450943252
648	0.8450787139
649	0.8450615827
650	0.8450422248
651	0.8450316048
652	0.8450093316
653	0.8449881891
654	0.8449705094
655	0.8449560178
656	0.8449281168
657	0.8449118405
658	0.8448887664
659	0.8448701621
660	0.8448529773
661	0.8448312243
662	0.8448108662
663	0.8447731913
