iter	Passed	Remaining
354	320674	5099182
355	321560	5098000
356	322313	5094717
357	323281	5094840
358	324042	5091715
359	324847	5089281
360	325856	5090033
361	326683	5087954
362	327643	5087956
363	328593	5087784
364	329415	5085626
365	330248	5083654
366	330981	5080156
367	331993	5080945
368	332707	5077177
369	333431	5073567
370	334280	5071880
371	335098	5069708
372	335885	5067102
373	336773	5066009
374	337627	5064407
375	338456	5062440
376	339388	5062024
377	340338	5061857
378	341298	5061838
379	342000	5058012
380	342852	5056394
381	343533	5052285
382	344267	5048952
383	345068	5046633
384	346026	5046589
385	346784	5043640
386	347726	5043383
387	348475	5040326
388	349464	5040740
389	350454	5041148
390	351165	5037563
391	352059	5036599
392	353084	5037522
393	353953	5036207
394	354937	5036518
395	355765	5034625
396	356564	5032324
397	357504	5032013
398	358369	5030643
399	359199	5028791
400	360003	5026584
401	360729	5023289
402	361600	5022036
403	362376	5019452
404	363042	5015365
405	363872	5013559
406	364619	5010611
407	365666	5011786
408	366650	5012079
409	367611	5012065
410	368541	5011623
411	369359	5009661
412	370303	5009403
413	371204	5008576
414	371883	5004744
415	372516	5000312
416	373441	4999821
417	374180	4996830
418	375065	4995801
419	375879	4993822
420	377014	4996109
421	377961	4995903
422	378672	4992564
423	379464	4990310
424	380365	4989497
425	381201	4987828
426	382001	4985694
427	382836	4984036
428	383638	4981928
429	384607	4982002
430	385332	4978919
431	386000	4975119
432	386707	4971830
433	387590	4970799
434	388669	4972283
435	389539	4971094
436	390404	4969836
437	391527	4971866
438	392616	4973435
439	393846	4976789
440	395112	4980563
441	396075	4980515
442	397176	4982190
443	398210	4983016
444	399328	4984878
445	400555	4988082
446	401542	4988287
447	402409	4987002
448	403489	4988351
449	404412	4987748
450	405672	4991294
451	406891	4994320
452	408126	4997525
453	409158	4998221
454	410284	5000055
455	411563	5003749
456	412428	5002392
457	413321	5001376
458	414248	5000770
459	415600	5005279
460	416575	5005225
461	417540	5005059
462	418359	5003140
463	419313	5002846
464	420161	5001274
465	421062	5000348
466	421896	4998613
467	422811	4997845
468	423718	4996991
469	424547	4995207
470	425318	4992756
471	426034	4989660
472	426824	4987444
473	427762	4986949
474	428546	4984671
475	429540	4984833
476	430459	4984123
477	431160	4980899
478	432051	4979872
479	432892	4978259
480	433834	4977819
481	434530	4974566
482	435576	4975313
483	436566	4975413
484	437554	4975492
485	438304	4972866
486	439271	4972696
487	439925	4968997
488	440669	4966318
489	441466	4964241
490	442435	4964105
491	443260	4962351
492	444060	4960326
493	444718	4956716
494	445697	4956700
495	446424	4953866
496	447237	4952003
497	448015	4949766
498	448927	4948993
499	449725	4946979
500	450675	4946631
501	451653	4946593
502	452445	4944518
503	453284	4942955
504	454226	4942521
505	455070	4941024
506	455912	4939499
507	456809	4938579
508	457834	4939032
509	458793	4938779
510	459636	4937265
511	460592	4936972
512	461417	4935279
513	462247	4933635
514	462967	4930828
515	463708	4928251
516	464587	4927145
517	465333	4924626
518	466279	4924235
519	467330	4924944
520	468316	4924959
521	469296	4924912
522	470182	4923880
523	470931	4921418
524	471742	4919605
525	472589	4918167
526	473491	4917299
527	474439	4916914
528	475241	4915022
529	476247	4915230
530	477030	4913149
531	477922	4912185
532	478891	4912004
533	479755	4910752
534	480621	4909526
535	481456	4907980
536	482196	4905475
537	483159	4905233
538	484248	4906275
539	485121	4905113
540	486134	4905379
541	487313	4907302
542	488118	4905455
543	489062	4905009
544	490111	4905612
545	491206	4906669
546	492264	4907345
547	493139	4906196
548	494262	4907513
549	495479	4909752
550	496763	4912637
551	497938	4914432
552	499156	4916649
553	500281	4917928
554	501292	4918087
555	502405	4919239
556	503527	4920466
557	504528	4920504
558	505650	4921729
559	506637	4921624
560	507665	4921911
561	508844	4923657
562	509993	4925105
563	511041	4925571
564	512272	4927793
565	513296	4928008
566	514058	4925715
567	514892	4924109
568	515921	4924377
569	516782	4923029
570	517501	4920345
571	518501	4920323
572	519226	4917703
573	520126	4916732
574	520980	4915340
575	521834	4913941
576	522766	4913280
577	523714	4912764
578	524707	4912673
579	525717	4912734
580	526346	4909246
581	527191	4907775
582	527828	4904364
583	528657	4902752
584	529583	4902044
585	530280	4899209
586	531218	4898611
